164647 particles, 452 voids.
Void# FileVoid# CoreParticle CoreDens ZoneVol Zone#Part Void#Zones VoidVol Void#Part VoidDensContrast VoidProb
0 69889 133523 0.102114 342.582489 737 1 342.582489 737 4.301578 0.000000
1 23062 29625 2.013931 2.932187 21 1 2.932187 21 3.820613 0.000000
2 862 1260 0.676597 3.307809 4 1 3.307809 4 3.518326 0.000000
3 4938 6224 1.374608 1.809544 11 1 1.809544 11 3.325351 0.000000
4 21818 27589 0.167555 124.891899 280 1 124.891899 280 3.294253 0.000000
5 4923 6196 2.279959 2.934737 19 1 2.934737 19 3.285888 0.000000
7 3067 4264 0.676512 8.275983 38 1 8.275983 38 2.945150 0.000000
9 25705 32899 0.269964 18.338240 46 1 18.338240 46 2.755188 0.000003
10 55522 100978 0.588557 13.759530 67 1 13.759530 67 2.677756 0.000006
12 6205 7652 0.375010 34.110531 94 1 34.110531 94 2.651872 0.000008
14 55305 100346 0.285959 50.742619 107 1 50.742619 107 2.568280 0.000019
15 20550 25655 0.273464 61.262939 166 1 61.262939 166 2.417392 0.000084
16 22813 29247 1.093704 5.160244 31 1 5.160244 31 2.407750 0.000092
17 2351 3299 0.634783 9.948283 31 1 9.948283 31 2.283888 0.000279
18 4946 6235 1.868607 4.817364 44 1 4.817364 44 2.277081 0.000296
19 11161 15154 0.315937 28.887520 104 1 28.887520 104 2.252151 0.000366
20 70862 136362 0.358250 40.693451 97 1 40.693451 97 2.248326 0.000378
21 69165 131161 0.262979 70.428703 154 1 70.428703 154 2.235535 0.000421
22 21220 26753 0.898110 7.732282 50 1 7.732282 50 2.198118 0.000575
23 10839 14686 1.037158 8.978460 48 1 8.978460 48 2.147139 0.000869
24 41499 56766 0.249015 80.844643 182 1 80.844643 182 2.123116 0.001050
25 4935 6219 3.950813 1.881297 23 1 1.881297 23 2.014761 0.002410
27 49350 84204 0.128207 307.430603 400 1 307.430603 400 1.998276 0.002720
28 72312 142682 0.151602 157.276794 263 1 157.276794 263 1.996466 0.002760
29 20975 26330 0.456120 74.170731 292 1 74.170731 292 1.992214 0.002840
30 66041 122245 0.165263 150.900696 289 1 150.900696 289 1.977532 0.003160
33 64918 118866 0.986422 3.206369 13 1 3.206369 13 1.917257 0.004870
34 38231 49942 0.781679 2.070355 8 1 2.070355 8 1.909132 0.005160
35 41816 57825 0.273427 37.233841 83 1 37.233841 83 1.902998 0.005380
36 41628 57164 0.338486 38.987759 93 1 38.987759 93 1.881892 0.006230
37 68534 128771 0.730821 4.810968 18 1 4.810968 18 1.863300 0.007080
39 46315 73140 0.158228 188.695999 337 1 188.695999 337 1.842487 0.008160
40 27904 36335 0.612073 23.336861 72 1 23.336861 72 1.838252 0.008400
41 2713 3789 0.806934 5.960291 15 1 5.960291 15 1.833212 0.008690
42 49722 85608 0.303940 68.794441 150 1 68.794441 150 1.816748 0.009700
43 44908 68526 0.204688 235.343597 386 1 235.343597 386 1.809637 0.010200
44 42788 62155 0.505348 10.065480 18 1 10.065480 18 1.800488 0.010800
46 56975 105103 0.280126 84.214203 185 1 84.214203 185 1.794420 0.011200
47 59744 108196 0.375446 49.472279 159 1 49.472279 159 1.783668 0.012100
48 54877 99315 1.766457 2.463866 11 1 2.463866 11 1.782633 0.012200
49 588 810 0.470550 21.113359 65 1 21.113359 65 1.779482 0.012400
50 73130 146832 0.402448 58.054501 151 1 58.054501 151 1.763405 0.013800
51 2700 3754 1.305595 7.325225 34 1 7.325225 34 1.762162 0.013900
52 2687 3715 0.449067 28.804649 52 1 28.804649 52 1.759558 0.014100
54 26226 33783 0.341282 72.609306 187 1 72.609306 187 1.749387 0.015100
55 37263 48106 0.975577 8.241022 29 1 8.241022 29 1.735982 0.016500
56 51175 90678 0.604896 36.627060 143 1 36.627060 143 1.721341 0.018100
59 46975 76018 0.499115 14.448210 32 1 14.448210 32 1.698100 0.020900
60 45557 70704 0.614018 9.876311 26 1 9.876311 26 1.674204 0.024300
61 2702 3758 1.442271 4.939086 37 1 4.939086 37 1.664983 0.025700
62 56011 102139 0.189958 151.691406 349 1 151.691406 349 1.657776 0.026900
63 52702 94638 0.462996 13.712860 23 1 13.712860 23 1.656694 0.027100
66 73345 148586 0.253580 51.167870 117 1 51.167870 117 1.629589 0.032000
67 37503 48422 1.291513 4.758446 24 1 4.758446 24 1.624168 0.033100
68 63793 113072 0.504035 22.998600 69 1 22.998600 69 1.620198 0.033900
70 39724 52791 0.141110 101.487701 145 1 101.487701 145 1.602144 0.037800
71 69190 131291 0.271069 73.909302 145 1 73.909302 145 1.599189 0.038400
72 72223 142254 0.632150 9.592908 33 1 9.592908 33 1.597457 0.038800
74 70010 134194 1.958251 4.797208 41 1 4.797208 41 1.594801 0.039500
75 49167 83404 1.705859 2.782571 14 1 2.782571 14 1.591860 0.040200
76 71728 139389 0.452522 40.335201 111 1 40.335201 111 1.591370 0.040300
77 47397 77348 0.196130 105.882202 186 1 105.882202 186 1.585530 0.041700
80 52815 95075 0.675277 6.653992 37 1 6.653992 37 1.580663 0.043000
81 22816 29255 1.078650 9.221917 49 1 9.221917 49 1.576961 0.043900
82 42204 59633 0.235662 91.774651 173 1 91.774651 173 1.571660 0.045300
83 75823 161271 0.175013 66.643738 90 1 66.643738 90 1.569544 0.045900
84 68779 129559 0.218518 140.041397 365 1 140.041397 365 1.569481 0.045900
85 24210 31064 0.596451 24.831060 56 1 24.831060 56 1.568497 0.046200
86 1123 1640 0.489344 48.463650 160 1 48.463650 160 1.564468 0.047300
87 47892 79142 0.535087 33.149910 75 1 33.149910 75 1.563514 0.047600
88 76986 163398 0.227708 167.156693 237 1 167.156693 237 1.562014 0.048000
89 25571 32641 0.502218 29.580290 93 1 29.580290 93 1.545294 0.053000
90 26003 33419 0.728963 23.565750 83 1 23.565750 83 1.543487 0.053500
91 29195 38275 0.907498 2.169667 6 1 2.169667 6 1.539480 0.054800
93 43033 62826 0.336921 42.254871 120 1 42.254871 120 1.528345 0.058500
94 45550 70656 0.251392 58.145241 125 1 58.145241 125 1.527116 0.058900
95 28587 37516 0.392990 57.824650 116 1 57.824650 116 1.522878 0.060400
96 65694 120888 0.141885 212.092804 365 1 212.092804 365 1.516253 0.062700
97 46912 75833 0.341007 39.198078 58 1 39.198078 58 1.514070 0.063500
98 11644 15808 0.320481 45.004871 73 1 45.004871 73 1.514003 0.063600
99 65295 119740 0.521002 13.993320 41 1 13.993320 41 1.513362 0.063800
102 75549 159377 0.481562 14.675490 21 1 14.675490 21 1.495450 0.070700
103 73145 146918 0.747813 8.376553 36 1 8.376553 36 1.486279 0.074600
104 74065 152928 0.249927 107.728996 196 1 107.728996 196 1.485179 0.075000
105 49106 83212 0.240363 169.521301 331 1 169.521301 331 1.484023 0.075500
107 65200 119467 0.307453 29.416880 51 1 29.416880 51 1.476171 0.079000
108 65600 120474 1.539087 2.511317 10 1 2.511317 10 1.472908 0.080500
109 46254 72756 0.475769 16.720699 30 1 16.720699 30 1.468620 0.082500
112 40926 55482 0.707243 10.729040 37 1 10.729040 37 1.462003 0.085600
113 11391 15488 0.650886 15.580780 29 1 15.580780 29 1.456956 0.088100
116 36760 47405 0.190926 193.403397 462 1 193.403397 462 1.449462 0.092000
