164647 particles, 452 voids.
Void# FileVoid# CoreParticle CoreDens ZoneVol Zone#Part Void#Zones VoidVol Void#Part VoidDensContrast VoidProb
1 23062 29625 2.013931 2.932187 21 1 2.932187 21 3.820613 0.000000
2 862 1260 0.676597 3.307809 4 1 3.307809 4 3.518326 0.000000
16 22813 29247 1.093704 5.160244 31 1 5.160244 31 2.407750 0.000092
17 2351 3299 0.634783 9.948283 31 1 9.948283 31 2.283888 0.000279
28 72312 142682 0.151602 157.276794 263 1 157.276794 263 1.996466 0.002760
33 64918 118866 0.986422 3.206369 13 1 3.206369 13 1.917257 0.004870
34 38231 49942 0.781679 2.070355 8 1 2.070355 8 1.909132 0.005160
37 68534 128771 0.730821 4.810968 18 1 4.810968 18 1.863300 0.007080
44 42788 62155 0.505348 10.065480 18 1 10.065480 18 1.800488 0.010800
48 54877 99315 1.766457 2.463866 11 1 2.463866 11 1.782633 0.012200
59 46975 76018 0.499115 14.448210 32 1 14.448210 32 1.698100 0.020900
60 45557 70704 0.614018 9.876311 26 1 9.876311 26 1.674204 0.024300
61 2702 3758 1.442271 4.939086 37 1 4.939086 37 1.664983 0.025700
67 37503 48422 1.291513 4.758446 24 1 4.758446 24 1.624168 0.033100
75 49167 83404 1.705859 2.782571 14 1 2.782571 14 1.591860 0.040200
80 52815 95075 0.675277 6.653992 37 1 6.653992 37 1.580663 0.043000
81 22816 29255 1.078650 9.221917 49 1 9.221917 49 1.576961 0.043900
83 75823 161271 0.175013 66.643738 90 1 66.643738 90 1.569544 0.045900
85 24210 31064 0.596451 24.831060 56 1 24.831060 56 1.568497 0.046200
91 29195 38275 0.907498 2.169667 6 1 2.169667 6 1.539480 0.054800
96 65694 120888 0.141885 212.092804 365 1 212.092804 365 1.516253 0.062700
97 46912 75833 0.341007 39.198078 58 1 39.198078 58 1.514070 0.063500
99 65295 119740 0.521002 13.993320 41 1 13.993320 41 1.513362 0.063800
102 75549 159377 0.481562 14.675490 21 1 14.675490 21 1.495450 0.070700
103 73145 146918 0.747813 8.376553 36 1 8.376553 36 1.486279 0.074600
104 74065 152928 0.249927 107.728996 196 1 107.728996 196 1.485179 0.075000
105 49106 83212 0.240363 169.521301 331 1 169.521301 331 1.484023 0.075500
108 65600 120474 1.539087 2.511317 10 1 2.511317 10 1.472908 0.080500
112 40926 55482 0.707243 10.729040 37 1 10.729040 37 1.462003 0.085600
120 49455 84569 0.273479 33.932690 58 1 33.932690 58 1.434315 0.100000
131 11836 16068 1.128693 3.049352 16 1 3.049352 16 1.410761 0.114000
132 49355 84228 0.957246 7.050752 27 1 7.050752 27 1.402637 0.120000
133 72134 141822 0.381609 36.535881 70 1 36.535881 70 1.398366 0.122000
134 77593 164529 0.236660 77.156868 176 1 77.156868 176 1.398233 0.122000
135 2000 2856 2.056247 2.264095 16 1 2.264095 16 1.397491 0.123000
136 47507 77710 0.466582 8.891887 20 1 8.891887 20 1.397349 0.123000
137 42782 62135 0.243144 40.252708 78 1 40.252708 78 1.396803 0.123000
139 69936 133928 0.729956 6.825108 25 1 6.825108 25 1.392301 0.127000
140 51286 91125 0.791281 7.453786 35 1 7.453786 35 1.383473 0.133000
