164647 particles, 77640 voids.
Void# FileVoid# CoreParticle CoreDens ZoneVol Zone#Part Void#Zones VoidVol Void#Part VoidDensContrast VoidProb
2 20720 25885 6.414140e-01 6.111108e+00 8 1 6.111108e+00 8 155905548217539602064200433664.000000 0.00e+00
3 60931 109822 6.964345e-01 1.866254e+00 3 1 1.866254e+00 3 143588520841191541589191688192.000000 0.00e+00
4 27713 36049 7.457576e-01 3.048188e+00 4 1 3.048188e+00 4 134091832399407719325158604800.000000 0.00e+00
5 50987 89910 7.596192e-01 2.166149e+00 4 1 2.166149e+00 4 131644909872109915439810740224.000000 0.00e+00
6 9287 12658 7.857843e-01 4.180611e+00 6 1 4.180611e+00 6 127261392073852098748778283008.000000 0.00e+00
7 1132 1660 8.197826e-01 4.185479e+00 11 1 4.185479e+00 11 121983571400534360125756932096.000000 0.00e+00
8 3346 4596 8.309427e-01 5.762738e+00 9 1 5.762738e+00 9 120345240796632394111769378816.000000 0.00e+00
11 54962 99473 9.956279e-01 1.579749e+00 2 1 1.579749e+00 2 100439134363988670296090476544.000000 0.00e+00
12 11640 15781 1.050419e+00 1.770282e+00 3 1 1.770282e+00 3 95200131543160120156725706752.000000 0.00e+00
13 3023 4130 1.136821e+00 1.557897e+00 4 1 1.557897e+00 4 87964606620703941413914542080.000000 0.00e+00
14 41776 57654 1.204407e+00 2.031108e+00 4 1 2.031108e+00 4 83028439717688855882813669376.000000 0.00e+00
16 10793 14590 1.270788e+00 1.508580e+00 3 1 1.508580e+00 3 78691319170125233456005775360.000000 0.00e+00
17 40803 55155 1.274153e+00 1.584262e+00 4 1 1.584262e+00 4 78483525600146003327312723968.000000 0.00e+00
18 9096 12170 1.296211e+00 3.516990e+00 10 1 3.516990e+00 10 77147922299628395919749152768.000000 0.00e+00
20 49321 84049 1.357031e+00 1.152278e+00 5 1 1.152278e+00 5 73690304730567381956830429184.000000 0.00e+00
21 10852 14706 1.384848e+00 9.836153e-01 3 1 9.836153e-01 3 72210083678878374534242631680.000000 0.00e+00
22 55290 100294 1.396945e+00 4.542144e+00 19 1 4.542144e+00 19 71584757353949741854335434752.000000 0.00e+00
23 900 1351 1.424096e+00 7.818682e-01 3 1 7.818682e-01 3 70219979273300965778641649664.000000 0.00e+00
24 67735 125290 1.427847e+00 1.006247e+00 7 1 1.006247e+00 7 70035495304281180218723401728.000000 0.00e+00
25 50720 89014 1.444608e+00 1.406670e+00 7 1 1.406670e+00 7 69222950760139180454319226880.000000 0.00e+00
26 1151 1710 1.465757e+00 1.535707e+00 5 1 1.535707e+00 5 68224123025347421795170385920.000000 0.00e+00
27 35722 45431 1.476542e+00 1.526319e+00 7 1 1.526319e+00 7 67725814191708533962575970304.000000 0.00e+00
28 75603 159507 1.487613e+00 3.347944e+00 8 1 3.347944e+00 8 67221791294625373859272982528.000000 0.00e+00
29 47481 77551 1.494212e+00 1.002806e+00 3 1 1.002806e+00 3 66924900836213842134333128704.000000 0.00e+00
31 45226 69511 1.548082e+00 8.706354e-01 3 1 8.706354e-01 3 64596075249919642336489373696.000000 0.00e+00
34 1438 2121 1.693334e+00 1.571402e+00 7 1 1.571402e+00 7 59055110149076958473225240576.000000 0.00e+00
35 54150 97890 1.724025e+00 2.841871e+00 17 1 2.841871e+00 17 58003816922660518055752237056.000000 0.00e+00
36 45314 69775 1.725858e+00 1.055044e+00 4 1 1.055044e+00 4 57942194762425552055358717952.000000 0.00e+00
